CODE;NOM;X;Y;GOUV;CAP;AGG;NIV;DTUN;DPORT;DCAP;POPTO2004;POPCO2004;NBLOG2004;IMMIG9404;EMIG9404;POPTO2010;SUP2010;IDRVA2011
TS214F;Kerkenah ;371,4161;536,9902;TS214;0;;(2) 10 à 20 000;257,0;45,0;41,0;14400;14400;7497;1311;1396;14465;159,7;0,379
TS2210;Kairouan Nord  ;267,4239;654,1801;TS221;1;Kairouan;(5) 100 000 à 1 000 000;120,9;56,6;1,0;83794;70097;21092;4467;15689;91572;250,3;0,369
TS2211;Kairouan Sud ;269,8113;635,6555;TS221;0;Kairouan;(5) 100 000 à 1 000 000;139,3;61,1;19,7;80444;47806;18651;6288;3380;86201;573,5;0,355
TS2212;Echebika ;250,5499;642,8892;TS221;0;;(1) moins de 10 000;134,1;75,8;21,3;33889;2505;6901;321;1340;33972;490,7;0,208
TS2213;Sbikha ;261,1743;677,1857;TS221;0;;(1) moins de 10 000;98,5;63,3;24,8;67315;6776;12868;769;2272;68689;1047,1;0,209
TS2214;EL Ouslatia ;228,855;669,9327;TS221;0;;(1) moins de 10 000;114,4;94,4;42,7;36195;10095;8375;510;2938;33352;905,4;0,141
TS2215;Haffouz ;230,4739;629,252;TS221;0;;(1) moins de 10 000;152,1;99,3;45,6;43792;8225;8157;693;2394;45656;618,9;0,208
TS2216;El Alâa ;220,794;644,784;TS221;0;;(1) moins de 10 000;140,7;104,2;48,6;31773;2657;6775;457;1943;30088;371,8;0,092
TS2217;Hajeb el Ayoun ;218,5952;617,5754;TS221;0;;(2) 10 à 20 000;166,9;114,8;62,0;35403;9648;7128;567;1570;36010;608,1;0,196
TS2218;Nasrallah ;241,2268;605,4316;TS221;0;;(1) moins de 10 000;172,6;101,7;56,3;37112;8410;8178;345;2099;36345;714,8;0,172
TS2219;Echrarda ;265,0354;588,7124;TS221;0;;(1) moins de 10 000;186,4;86,7;66,5;25903;1387;6130;284;1372;25773;387,1;0,189
TS221A;Bouhajla ;264,3518;611,5044;TS221;0;;(1) moins de 10 000;163,6;80,2;43,8;70589;6002;14582;518;3206;71289;626,7;0,155
TS2220;Kasserine Nord  ;142,6269;593,9318;TS222;1;Kasserine;(4) 50 à 100 000;224,0;194,0;1,0;58343;55966;13467;3578;10393;62348;85,1;0,437
TS2221;Kasserine Sud ;141,1973;582,6165;TS222;0;Kasserine;(4) 50 à 100 000;234,0;195,0;12,4;21139;0;4823;581;1746;22159;894,6;0,095
TS2222;Ezzouhour ;147,8297;587,3734;TS222;0;Kasserine;(4) 50 à 100 000;226,3;191,8;9,4;20277;20277;4402;1052;667;21255;31,5;0,185
TS2223;Hassi Ferid ;156,8764;565,9199;TS222;0;;(1) moins de 10 000;239,8;172,1;32,4;16890;0;3681;239;1305;17803;944,5;0,000
TS2224;Sbeitla ;170,7924;599,4897;TS222;0;;(3) 20 à 50000;203,8;165,9;29,7;69539;20253;15083;1223;3373;72928;1114,8;0,213
TS2225;Sbiba ;179,1501;626,998;TS222;0;;(1) moins de 10 000;176,0;148,8;50,3;42091;5995;7640;823;1919;44378;450,7;0,115
