id;name;stock;symbolsize
DE80;Mecklenburg-Vorpommern;34858;66620,2552159464
UKL2;"East Wales";34473;66251,3296663963
BE25;"Prov. West-Vlaanderen";34447;66226,3411321297
UKK2;"Dorset and Somerset";34375;66157,0928550153
IE01;"Border, Midlands and Western";34007;65802,0191162921
AT22;Steiermark;33911;65709,0756300179
DE23;Oberpfalz;33859;65658,6763080005
NL21;Overijssel;33688;65492,6665994279
UKE3;"South Yorkshire";33652;65457,663538678
FR72;Auvergne;33569;65376,8906244513
ITF6;Calabria;33159;64976,4188485894
ES24;Aragón;32854;64676,898505362
ITG2;Sardegna;32800;64623,7240240094
UKD5;Merseyside;32289;64118,3528016384
DED1;Chemnitz;31842;63672,9876662443
CZ01;Praha;31724;63554,8985658685
DE24;Oberfranken;31482;63312,0267779767
TR41;Bursa;31340,52;63169,6045709986
TR31;Izmir;31334,89;63163,9304333782
PT16;"Centro (PT)";31276;63104,5481729621
DE42;"Brandenburg - Südwest";30953;62777,8493006789
GR12;"Kentriki Makedonia";30519;62336,1834457103
DEC0;Saarland;30363;62176,6614549171
CH06;Zentralschweiz;29229,95;61005,5146938632
DE72;Gießen;28908;60668,6152464386
UKK4;Devon;28860;60618,226022424
PL41;Wielkopolskie;28843;60600,369791608
TR42;Kocaeli;28829,94;60586,6484304439
RO32;"Bucuresti - Ilfov";28669;60417,302577997
FR43;Franche-Comté;28639;60385,683172148
LT00;Lituanie;28577;60320,2838768989
ITF1;Abruzzo;28242;59965,6828714645
UKC1;"Tees Valley and Durham";27272;58926,894423529
ES62;"Región de Murcia";27014;58647,5004254024
DE50;Bremen;26824;58440,8911191265
BE32;"Prov. Hainaut";26600;58196,3674896942
SE31;"Norra Mellansverige";26285;57850,7575001086
ES53;"Illes Balears";26148;57699,798626802
SE21;"Småland med öarna";26062;57604,834011468
DK02;Sjælland;25637;57133,2146902092
PL51;Dolnoslaskie;25548;57033,9582081534
NL11;Groningen;24836;56233,5996829676
BE33;"Prov. Liège";24417;55757,2326822256
DED3;Leipzig;24169;55473,3508603042
AT33;Tirol;23867;55125,6820494714
UKE1;"East Yorkshire and Northern Lincolnshire";23606;54823,4372262614
NO07;Nord-Norge;22958,99;54066,8974282593
UKE2;"North Yorkshire";22940;54044,5327079665
ES12;"Principado de Asturias";22921;54022,1469444474
PL21;Malopolskie;22897;53993,8569244697
DE41;"Brandenburg - Nordost";22336;53328,3024961461
NO06;Trøndelag;21892,28;52795,9436135151
DK05;Nordjylland;21783;52664,0076361133
BE22;"Prov. Limburg (B)";21570;52405,8937333745
ITE2;Umbria;21422;52225,7958554167
LV00;Lettonie;21111;51845,3083980643
HR01;"Sjeverozapadna Hrvatska";20035;50506,7859586897
UKM5;"North Eastern Scotland";19673;50048,418120431
AT32;Salzburg;19618;49978,4087267836
SI02;"Zahodna Slovenija";19257;49516,4355673599
PL11;Lódzkie;19202;49445,6729532571
TR62;Adana;19192,94;49434,0067036137
FI1A;Pohjois-Suomi;18779;48898,0218521993
TR61;Antalya;18745,99;48855,0261213828
SK02;"Západné Slovensko";18518;48557,0282136435
NO02;"Hedmark og Oppland";18429,24;48440,517284
CZ06;Jihovýchod;18201;48139,6229251172
NL12;"Friesland (NL)";18141;48060,2107580071
TR32;Aydin;17892,62;47730,0653078532
ES22;"Comunidad Foral de Navarra";17734;47518,0282485852
PL63;Pomorskie;17727;47508,6491173136
FR63;Limousin;17725;47505,9690254085
ES43;Extremadura;17404;47073,8367212306
SE33;"Övre Norrland";17272;46894,9820520978
TR33;Manisa;16890,65;46374,3932750402
FI13;Itä-Suomi;16846;46313,0579541111
ITD1;"Provincia Autonoma Bolzano-Bozen";16609;45986,1235575541
UKF3;Lincolnshire;16559;45916,85270276
CY00;Chypre;15951;45066,0004638426
RO31;"Sud - Muntenia";15667;44663,0092440778
ITD2;"Provincia Autonoma Trento";15651;44640,1972605969
EE00;Estonie;15627;44605,9574110638
AT21;Kärnten;15561;44511,6620175251
SI01;"Vzhodna Slovenija";15311;44152,6563973676
RO11;Nord-Vest;15217;44016,9128315866
CZ05;Severovýchod;15126;43885,1015193814
IS00;Islande;14851;43484,3425601238
RO12;Centru;14824;43444,796018803
SK01;"Bratislavský kraj";14668;43215,5963075547
PL61;Kujawsko-Pomorskie;14631;43161,0562649018
HR03;"Jadranska Hrvatska";13852;41996,3262365549
RO21;Nord-Est;13791;41903,754678361
CZ02;"Strední Cechy";13750;41841,41935942
FR94;"Réunion (FR)";13685;41742,4043027
ES13;Cantabria;13346;41222,1481294164
RO22;Sud-Est;13286;41129,3819444827
NL13;Drenthe;13259;41087,5688300531
TR83;Samsun;13182,2;40968,400416184
BG41;Yugozapaden;13116;40865,4008529788
CZ03;Jihozápad;13006;40693,6770504037
CZ08;Moravskoslezsko;12967;40632,6188875155
RO42;Vest;12917;40554,204713376
UKD1;Cumbria;12793;40359,080137928
TR21;Tekirdag;12484,19;39868,9909478372
AT34;Vorarlberg;12428;39779,1667358287
PL42;Zachodniopomorskie;12396;39727,9214111902
DEB2;Trier;12388;39715,0997483063
TR90;Trabzon;12279,3;39540,4733680143
NL34;Zeeland;12151;39333,3620582794
PL31;Lubelskie;11989;39070,281419296
SE32;"Mellersta Norrland";11833;38815,2592840125
CZ07;"Strední Morava";11793;38749,5986444528
PL32;Podkarpackie;11546;38341,653307483
UKK3;"Cornwall and Isles of Scilly";11467;38210,2576011705
BE31;"Prov. Brabant Wallon";11281;37899,096696567
ITF5;Basilicata;11160;37695,2958858853
PT18;Alentejo;11157;37690,2289733164
UKM6;"Highlands and Islands";11107;37605,6799212213
GR43;Kriti;11049;37507,3642499427
TR63;Hatay;10996,99;37418,9825370187
GR14;Thessalia;10957;37350,8844495859
TR52;Konya;10947,45;37334,6035923926
SK04;"Východné Slovensko";10887;37231,3831646525
SK03;"Stredné Slovensko";10825;37125,2179411221
TR72;Kayseri;10821,36;37118,9755782878
CZ04;Severozápad;10764;37020,4679326576
NL23;Flevoland;10609;36752,9567927471
CH07;Ticino;10405,78;36399,2453078553
RO41;"Sud-Vest Oltenia";10355;36310,3228927155
HU21;Közép-Dunántúl;10332;36269,9751532913
GR24;"Sterea Ellada";10167;35979,1973942199
BE35;"Prov. Namur";10062;35792,9270933871
HU22;Nyugat-Dunántúl;9852;35417,4476702244
GR25;Peloponnisos;9810;35341,873088239
HU32;Észak-Alföld;9620;34997,9491118441
GR23;"Dytiki Ellada";9614;34987,0332881824
TR22;Balikesir;9228,33;34278,090214984
HU33;Dél-Alföld;8986;33825,0359186656
HR02;"Sredisnja i Istocna (Panonska) Hrvatska";8936;33730,7998300565
PL62;Warminsko-Mazurskie;8657;33200,0523173869
TRC2;Sanliurfa;8492,04;32882,2157761195
FR91;"Guadeloupe (FR)";8396;32695,7477626624
GR11;"Anatoliki Makedonia, Thraki";8218;32347,3068100477
FR92;"Martinique (FR)";8194;32300,0384358284
PL33;Swietokrzyskie;8016;31947,2818727933
HU31;Észak-Magyarország;8015;31945,2890909635
TRC1;Gaziantep;7866,09;31647,1433946981
ES23;"La Rioja";7736;31384,3609431054
TR81;Zonguldak;7332,45;30554,8118956628
PL43;Lubuskie;7289;30464,1478488642
PL34;Podlaskie;7229;30338,5046910531
PL52;Opolskie;7035;29928,648812153
TR71;Kirikkale;6996,96;29847,6232972244
FR83;Corse;6969;29787,9277346702
PT15;Algarve;6868;29571,2853850506
HU23;Dél-Dunántúl;6611;29012,7327741531
GR42;"Notio Aigaio";6411;28570,5070331227
ITF2;Molise;6279;28274,8494273481
TRB1;Malatya;6223,52;28149,6567855634
AT11;"Burgenland (A)";6057;27770,5093983904
MK00;"Poranesna jugoslovenska Republika Makedonija (provisional code)";5792;27156,2210977633
BE34;"Prov. Luxembourg (B)";5587;26671,3129343783
TRC3;Mardin;5542,4;26564,64351867
MT00;Malte;5456;26356,7732396723
GR21;Ipeiros;5213;25763,1476079776
GR13;"Dytiki Makedonia";4853;24857,6577951338
PT30;"Região Autónoma da Madeira (PT)";4822;24778,1377119285
TRB2;Van;4591,09;24177,5874343123
BG42;"Yuzhen tsentralen";4210;23152,4048067043
TRA1;Erzurum;4185,79;23085,7387881718
ITC2;"Valle d'Aosta/Vallée d'Aoste";3740;21821,8145380019
GR22;"Ionia Nisia";3664;21598,9575950082
TR82;Kastamonu;3565,47;21306,5656537296
BG34;Yugoiztochen;3462;20995,131111458
PT20;"Região Autónoma dos Açores (PT)";3346;20640,3961121967
BG33;Severoiztochen;3217;20238,6057212769
LI00;Liechtenstein;3199;20181,9060140706
TRA2;Agri;3102,75;19875,9754412885
GR41;"Voreio Aigaio";2915;19265,2362375939
FR93;"Guyane (FR)";2900;19215,6048037317
BG32;"Severen tsentralen";2497;17830,5332034791
BG31;Severozapaden;2396;17466,2015022885
ES63;"Ciudad Autónoma de Ceuta (ES)";1560;14093,4512798919
ES64;"Ciudad Autónoma de Melilla (ES)";1443;13554,6474061587
FI20;Åland;1113;11904,2665178928
